Period,Description,Temperature
ThisAfternoon,ChanceT-storms,High: 75 °F
Tonight,ChanceT-storms thenMostly Clear,Low: 56 °F
Tuesday,Sunny,High: 77 °F
TuesdayNight,Partly Cloudy,Low: 51 °F
Wednesday,Mostly Sunny,High: 76 °F
WednesdayNight,Mostly Cloudy,Low: 58 °F
Thursday,ChanceShowers thenChanceT-storms,High: 76 °F
ThursdayNight,Slight ChanceT-storms,Low: 65 °F
Friday,ShowersLikely,High: 81 °F
